"LISCENCEEXP","GENDER","DRIVINGEXPIRIENCE","BIRTHDAY","NAME","ID"
"15/05/2041","MALE  ","18","04/11/1982","Joaquin Douglas     ","90295389"
"16/05/2036","FEMALE","19","10/09/1996","Don Jeter           ","83566401"
"06/04/2036","FEMALE","49","05/12/1963","Jackson Addy        ","43563712"
"24/05/2039","FEMALE","41","06/04/2005","Peter English       ","58497398"
"01/10/2034","MALE  ","10","04/07/1966","Tia Gaynor          ","59922270"
"13/09/2028","FEMALE","9","11/12/1969","Chely Lipnicki      ","47103100"
"22/09/2039","MALE  ","37","07/04/1990","Rachel Bratt        ","1864"
"25/01/2039","FEMALE","44","07/05/1966","Isabella Reed       ","2115"
"04/09/2032","FEMALE","30","19/02/1980","Saffron Bello       ","1032"
"08/07/2024","FEMALE","17","21/12/1968","Rebecca Adler       ","1690"
"27/05/2025","MALE  ","34","11/11/1991","Teri Utada          ","53"
"09/07/2031","FEMALE","10","30/01/1963","Lou Nelligan        ","2347"
"14/02/2059","FEMALE","47","26/08/1986","Kyra Gryner         ","1258"
"11/07/2035","FEMALE","5","29/07/1981","Simon Caldwell      ","1430"
"15/12/2047","MALE  ","23","21/09/1965","Sheryl Shannon      ","164"
"18/02/2044","MALE  ","25","21/03/1997","Jarvis Kurtz        ","1581"
"15/04/2036","MALE  ","38","21/10/1984","Don Armatrading     ","2139"
"14/08/2045","MALE  ","33","01/05/1995","Laura DeLuise       ","235"
"02/02/2033","MALE  ","31","24/07/1961","Bret Simpson        ","1501"
"27/01/2044","FEMALE","39","04/11/1978","Judy Benson         ","1847"
"31/12/2049","FEMALE","37","13/12/2004","Bret Yorn           ","957"
"04/09/2059","MALE  ","6","26/02/1988","Omar Snipes         ","1016"
"23/09/2029","FEMALE","36","26/12/2001","Ray Mason           ","2119"
"19/09/2041","MALE  ","22","29/01/1980","Don Crystal         ","47"
"18/05/2043","MALE  ","2","07/10/1974","Loreena Saucedo     ","327"
"06/08/2026","FEMALE","18","13/03/1986","Mika Lange          ","2159"
"23/08/2055","FEMALE","7","02/11/1991","Tzi MacNeil         ","2211"
"11/01/2036","FEMALE","39","30/03/1983","Laura Breslin       ","1623"
"26/09/2046","FEMALE","30","17/11/1982","Rich Hong           ","2112"
"15/08/2039","MALE  ","9","13/02/1982","Glen Kenoly         ","1099"
"25/09/2027","MALE  ","16","22/12/1986","Samuel Tolkan       ","1716"
"19/05/2054","FEMALE","17","04/05/1990","Eliza Sobieski      ","1857"
"23/04/2028","MALE  ","42","04/11/1980","Lindsey Union       ","722"
"10/11/2059","FEMALE","30","20/04/1982","Ahmad Mars          ","943"
"27/01/2047","MALE  ","40","04/03/1972","Remy Flemyng        ","768"
"03/04/2024","MALE  ","3","23/04/1997","Irene Peniston      ","795"
"02/01/2027","FEMALE","34","01/12/1987","Gordon Hidalgo      ","2242"
"22/09/2055","MALE  ","50","20/12/1967","Brothers Candy      ","180"
"05/12/2027","MALE  ","20","23/05/1965","Lenny Diddley       ","2244"
"18/11/2042","FEMALE","43","15/11/1991","Lloyd Sutherland    ","886"
"14/02/2029","MALE  ","33","12/08/1988","Lou Wainwright      ","1472"
"28/10/2056","FEMALE","10","10/12/1980","Balthazar Price     ","1149"
"21/05/2048","MALE  ","6","14/02/1989","Humberto Bloch      ","1303"
"21/09/2060","MALE  ","24","15/04/1961","Patty Bedelia       ","2061"
"07/09/2035","FEMALE","17","09/07/1966","Tyrone Mantegna     ","2055"
"27/06/2059","FEMALE","24","07/01/2004","Kelly Fraser        ","1045"
"22/04/2041","MALE  ","12","09/01/1967","Rodney Lapointe     ","2412"
"16/05/2032","MALE  ","28","19/11/1999","Merrilee Sandler    ","2114"
"16/10/2035","MALE  ","10","20/04/1977","Simon McCracken     ","531"
"04/12/2042","FEMALE","33","09/08/1961","Nicholas Phillippe  ","2377"
"19/09/2027","FEMALE","47","26/07/1983","Rufus Eat World     ","2499"
"24/03/2038","MALE  ","28","19/09/1973","Dermot Leto         ","848"
"21/03/2040","FEMALE","21","07/06/1991","Adrien Reilly       ","750"
"13/10/2052","FEMALE","14","21/09/1993","Lindsey Lofgren     ","428"
"11/11/2037","FEMALE","49","06/12/1975","Marlon Harrelson    ","1996"
"28/01/2046","MALE  ","18","06/03/2005","Bruce Visnjic       ","2099"
"23/02/2027","MALE  ","8","18/07/1984","Lloyd Watson        ","723"
"19/07/2045","MALE  ","19","08/12/1971","Juice Hayes         ","866"
"08/08/2044","MALE  ","46","28/10/1962","Holland Beals       ","1133"
"18/06/2044","FEMALE","22","23/11/1969","Michael Sepulveda   ","859"
"30/08/2051","FEMALE","43","03/12/1982","Tyrone McGovern     ","2095"
"11/01/2055","FEMALE","49","28/04/1997","Mekhi Malkovich     ","1311"
"21/09/2048","MALE  ","6","02/07/1994","Angie Conley        ","2023"
"13/05/2041","FEMALE","31","18/10/1981","Lorraine Page       ","851"
"15/07/2039","MALE  ","13","26/01/1967","Meg Sandoval        ","583"
"10/12/2042","FEMALE","43","02/02/1998","Maxine Hidalgo      ","1257"
"01/07/2036","MALE  ","25","26/08/1985","Anjelica Chappelle  ","143"
"20/05/2043","MALE  ","30","10/11/1961","Nina Armatrading    ","1287"
"14/04/2053","FEMALE","6","22/11/2005","Sean Red            ","397"
"29/06/2046","FEMALE","34","24/05/1972","Joaquim Cash        ","1981"
"15/04/2043","FEMALE","34","12/01/1978","Lydia Snider        ","124"
"15/02/2033","MALE  ","26","14/03/1963","Horace Sinise       ","987"
"10/01/2052","MALE  ","3","24/06/1987","Joan Holliday       ","1015"
"13/06/2046","MALE  ","48","13/02/1966","Bonnie Estevez      ","1236"
"04/06/2022","FEMALE","32","06/09/1976","George Manning      ","1406"
"29/06/2057","MALE  ","34","08/09/1960","Anthony Stewart     ","91"
"22/04/2052","FEMALE","4","03/10/2005","Cledus Willis       ","729"
"08/10/2032","MALE  ","23","05/05/1968","Cloris Holiday      ","1564"
"16/07/2046","MALE  ","5","20/10/1968","Joy Mac             ","607"
"26/11/2023","FEMALE","40","05/04/2005","Carol Cohn          ","60"
"03/03/2043","FEMALE","31","08/11/1977","Herbie Frakes       ","4"
"08/12/2033","MALE  ","10","09/05/1986","Christina Chappelle ","2020"
"05/06/2036","MALE  ","46","22/11/1982","Raul Bell           ","391"
"11/12/2030","MALE  ","46","02/04/1960","Mia Malone          ","269"
"12/07/2029","MALE  ","22","15/04/1965","Tamala LaSalle      ","1970"
"08/11/2059","MALE  ","43","28/10/1992","Geraldine McAnally  ","1942"
"18/11/2036","FEMALE","12","06/06/1975","Jena Curtis         ","521"
"17/05/2052","FEMALE","46","13/11/1965","Ernie Perlman       ","1359"
"18/11/2032","FEMALE","27","23/10/1964","Lynette Daniels     ","214"
"17/12/2048","MALE  ","6","24/02/1968","Kurtwood Tomlin     ","166"
"23/04/2043","MALE  ","36","14/07/1990","Carole Sledge       ","279"
"23/12/2028","MALE  ","3","26/01/1974","Rosie Mazzello      ","833"
"26/08/2030","FEMALE","33","25/08/1991","Bobbi Nunn          ","1573"
"14/12/2053","MALE  ","37","05/10/1992","Maria Allan         ","626"
"19/12/2027","MALE  ","34","26/01/1982","Milla Palmieri      ","347"
"14/06/2042","FEMALE","19","17/08/1967","Chazz Dawson        ","655"
"06/04/2028","FEMALE","15","25/06/1991","Olga Gaynor         ","2110"
"05/10/2030","MALE  ","4","03/08/1991","Alfie Dourif        ","650"
"05/04/2050","FEMALE","4","20/03/1981","Pat McElhone        ","261"
"17/02/2043","FEMALE","19","12/06/1982","Tilda Tisdale       ","1679"
"29/09/2056","FEMALE","25","11/05/1970","Cevin Rourke        ","1535"
"30/07/2022","FEMALE","11","11/09/1999","Davy Maxwell        ","631"
"16/01/2034","MALE  ","29","19/05/1985","Dionne Esposito     ","1644"
"12/07/2039","MALE  ","48","30/06/1971","Nile Banderas       ","2394"
"30/09/2032","FEMALE","47","13/11/1971","Jeff Irons          ","1274"
"09/12/2051","MALE  ","34","24/02/1968","Kurt Berkley        ","718"
"24/09/2038","FEMALE","13","06/03/1960","Whoopi Noseworthy   ","307"
"20/09/2033","FEMALE","39","07/06/1969","Lynette Thorton     ","2258"
"07/09/2048","MALE  ","15","26/07/1983","Mandy Griffiths     ","395"
"16/06/2054","MALE  ","33","22/01/1961","Petula Alston       ","2010"
"20/09/2040","MALE  ","30","02/09/1993","Wally D'Onofrio     ","2058"
"19/08/2057","FEMALE","3","20/02/1976","Saffron Hershey     ","1262"
"12/02/2029","FEMALE","2","12/08/1984","Ronnie Pesci        ","830"
"18/12/2044","MALE  ","8","31/10/1984","Heath Def           ","1368"
"08/10/2057","MALE  ","19","19/10/2001","Woody Sandler       ","2003"
"06/06/2059","MALE  ","18","11/02/1989","Charles Steiger     ","1110"
"08/05/2050","FEMALE","27","13/11/2004","Edgar DiFranco      ","2229"
"09/04/2039","MALE  ","22","18/12/1968","Ewan Mazzello       ","1898"
"14/08/2025","MALE  ","40","12/10/1966","Roscoe English      ","706"
"30/08/2034","MALE  ","6","08/12/1993","Yaphet Sirtis       ","988"
"19/11/2033","FEMALE","36","25/01/1998","Cameron Willis      ","1140"
"25/01/2047","MALE  ","34","19/03/1971","Nathan Osment       ","764"
"30/12/2054","MALE  ","24","14/03/1979","Boz Winwood         ","1517"
"10/04/2026","FEMALE","20","07/02/1982","Forest Shearer      ","1670"
"16/07/2044","FEMALE","35","21/02/1965","Toni Tyler          ","1171"
"02/08/2025","FEMALE","43","06/01/2004","Colleen Gallagher   ","159"
"17/03/2054","FEMALE","11","24/05/1988","Corey Baker         ","1680"
"23/08/2059","FEMALE","27","09/01/1999","Sinead Maxwell      ","645"
"18/03/2035","MALE  ","39","30/07/1984","Roscoe Garfunkel    ","1688"
"08/05/2048","MALE  ","31","24/10/1999","Beverley Zeta-Jones ","1886"
"05/05/2036","FEMALE","47","02/05/1970","Bobbi Overstreet    ","2335"
"19/11/2029","MALE  ","50","21/11/1997","Geoffrey Roundtree  ","1441"
"15/09/2043","MALE  ","20","15/07/1971","Randall Masur       ","97"
"05/03/2026","FEMALE","43","23/02/1993","Lindsay Sinise      ","623"
"01/09/2040","MALE  ","3","02/06/1994","Richard Rodriguez   ","2277"
"06/05/2000","FEMALE","8","22/01/1994","Dick Leigh          ","61884079"
"27/04/2041","MALE  ","12","23/08/2000","Miguel Travers      ","38603107"
"22/11/2000","MALE  ","11","08/03/1978","Karon Dawson        ","45813337"
"08/02/2045","MALE  ","16","14/10/1999","Arturo Swank        ","446"
"16/09/2058","MALE  ","40","17/09/1978","Greg De Niro        ","1808"
"13/06/2046","MALE  ","24","29/03/1997","Lance Moraz         ","2040"
"29/04/2045","MALE  ","16","17/03/1997","Anna Hedaya         ","321"
"23/05/2028","FEMALE","32","06/11/1987","Geena Davies        ","823"
"20/02/2026","MALE  ","15","10/08/1980","Woody Dern          ","1935"
"04/09/2042","FEMALE","50","08/11/1998","Rita Borgnine       ","625"
"10/08/2053","FEMALE","46","26/11/1964","Isabella Allan      ","367"
"15/11/2032","MALE  ","14","06/02/1980","Bret Pierce         ","1994"
"30/03/2025","MALE  ","4","10/06/1982","Delbert Peterson    ","681"
"15/10/2031","MALE  ","13","10/08/1998","Sam Travolta        ","2121"
"31/01/2052","MALE  ","30","28/06/1988","Glenn Baranski      ","77"
"16/02/2054","FEMALE","49","01/10/2000","Miko Hanley         ","2214"
"18/02/2024","MALE  ","39","05/01/1990","Brothers Chestnut   ","1712"
"29/12/2037","MALE  ","12","21/04/1970","Naomi Scorsese      ","721"
"09/08/2028","FEMALE","19","10/08/1997","Gwyneth Union       ","2261"
"26/03/2052","MALE  ","45","01/06/2005","Gilbert Sylvian     ","249"
"16/11/2031","FEMALE","2","21/01/1985","Andre Richardson    ","2441"
"23/11/2049","MALE  ","8","27/04/1984","Marie Ojeda         ","1079"
"23/04/2053","MALE  ","28","06/06/1990","Alicia McLean       ","693"
"06/08/2047","MALE  ","21","07/01/1965","Jeanne Crouse       ","229"
"14/02/2031","MALE  ","21","08/12/1969","Clint Dunn          ","827"
"19/04/2055","MALE  ","27","30/09/1969","Mena Gryner         ","784"
"10/05/2045","FEMALE","20","20/03/1978","Al Berkeley         ","267"
"28/05/2047","FEMALE","41","23/09/2002","Susan Coe           ","1911"
"29/11/2059","FEMALE","2","29/03/1973","Mitchell Morrison   ","1354"
"10/01/2052","FEMALE","29","03/04/1981","Rosie Balaban       ","2103"
"08/12/2027","MALE  ","33","29/10/1978","Joshua Holden       ","1984"
"29/04/2037","MALE  ","22","07/11/1983","Liam Red            ","1715"
"25/01/2041","FEMALE","13","29/03/1965","Vince Pressly       ","1024"
"31/08/2059","FEMALE","25","20/05/1962","Sarah Jordan        ","2390"
"07/12/2045","FEMALE","47","30/10/1990","Frank Ingram        ","1399"
"25/10/2048","MALE  ","26","21/11/1993","Walter Weaver       ","493"
"24/05/2059","FEMALE","27","15/08/1965","Brad Laws           ","1811"
"02/01/2050","MALE  ","19","15/04/1986","Keith Bancroft      ","714"
"10/03/2022","MALE  ","35","30/06/1983","Bebe Sampson        ","2321"
"17/02/2049","MALE  ","18","01/10/1977","Terry Tippe         ","2149"
"14/07/2041","FEMALE","18","06/07/1993","Rory Klugh          ","1638"
"26/08/2035","FEMALE","39","25/07/1988","Wally Rockwell      ","1363"
"17/03/2033","MALE  ","4","09/05/1995","Rik Cornell         ","591"
"23/11/2034","MALE  ","39","28/04/1998","Harrison Kelly      ","316"
"31/03/2026","MALE  ","27","07/04/1981","Rose Kelly          ","1586"
"13/01/2059","FEMALE","10","23/03/1996","Adina Renfro        ","513"
"18/11/2051","MALE  ","4","19/07/1985","Temuera Danes       ","1006"
"09/11/2056","MALE  ","42","23/05/1962","Kirk Hornsby        ","967"
"04/06/2038","FEMALE","33","11/12/1968","Jack Vai            ","132"
"25/10/2028","FEMALE","41","08/06/1982","Jerry Haysbert      ","478"
"16/06/2047","MALE  ","43","21/09/1967","Rory Roberts        ","968"
"19/03/2030","MALE  ","31","02/02/1973","Suzy Christie       ","1907"
"13/02/2033","MALE  ","15","04/01/1988","Jackie Griffin      ","892"
"04/06/2023","FEMALE","42","04/02/1960","Peter Heslov        ","1582"
"14/11/2055","MALE  ","46","05/08/2001","Arturo Biel         ","165"
"06/07/2052","MALE  ","41","23/11/1995","Ruth Dench          ","780"
"08/06/2034","MALE  ","9","17/02/1974","Ernest McDiarmid    ","908"
"01/03/2053","MALE  ","22","16/11/1972","Ewan Avalon         ","2313"
"06/03/2038","FEMALE","21","13/01/1997","Benjamin Sarandon   ","1127"
"19/02/2050","FEMALE","36","05/05/1974","Tony Jackman        ","1292"
"14/12/2057","MALE  ","28","01/09/1968","Lois Schwimmer      ","2203"
"31/03/2037","FEMALE","38","18/10/1975","Nigel Elliott       ","1545"
"10/09/2056","FEMALE","13","14/10/1986","Thin Whitley        ","1185"
"10/11/2040","FEMALE","3","18/06/1979","Ashton Bush         ","508"
"13/03/2039","MALE  ","25","12/09/2005","Dar Thurman         ","2400"
"16/07/2059","FEMALE","27","21/11/1976","Louise Bandy        ","2262"
"26/01/2060","MALE  ","19","23/07/1971","Juliet Getty        ","1964"
"18/11/2047","FEMALE","30","22/02/1988","Billy Sanchez       ","713"
"06/03/2039","MALE  ","39","19/02/1967","Earl Dolenz         ","867"
"22/12/2040","FEMALE","30","01/03/1995","Doug Harper         ","1784"
"31/05/2060","MALE  ","27","07/10/1970","Boz Napolitano      ","666"
"17/06/2036","MALE  ","7","20/05/2001","Laurie Newman       ","2415"
"28/01/2033","MALE  ","28","10/11/1975","Freddy Beck         ","2453"
"11/12/2042","FEMALE","2","25/04/1999","Heather Franks      ","1708"
"20/03/2052","FEMALE","18","27/07/2003","Jay Soda            ","522"
"29/12/2058","FEMALE","7","03/09/1982","Richard Blige       ","737"
"31/12/2046","FEMALE","48","19/12/1992","Wayman Lindley      ","1"
"21/08/2046","MALE  ","24","18/06/1966","Horace Getty        ","2"
"10/06/2036","MALE  ","37","10/03/1972","Judy Easton         ","3"
"10/12/2026","FEMALE","40","12/09/1998","Geraldine Mahood    ","5"
"14/09/2056","MALE  ","47","21/09/1984","Tommy Johansen      ","6"
"05/05/2032","FEMALE","8","27/07/1988","Glenn Gryner        ","7"
"07/09/2008","FEMALE","13","19/03/1983","Cathy Weaver        ","71953601"
"01/01/2030","MALE  ","24","18/12/1976","Lili Mahood         ","34655675"
"03/02/2055","MALE  ","29","25/07/1974","Jarvis Devine       ","53659592"
"16/04/2012","FEMALE","12","20/09/1996","Rawlins Gertner     ","82485250"
"28/10/2024","FEMALE","32","26/03/1981","Andy Sisto          ","59647391"
"04/03/2037","MALE  ","16","09/11/1984","Loren Curtis        ","29824352"
"16/05/2020","FEMALE","45","30/04/1974","Eugene Wakeling     ","42522321"
"14/06/2026","MALE  ","56","22/03/1988","Emilio Levine       ","88411952"
"27/01/2034","MALE  ","19","29/12/1982","Eugene Eldard       ","88044702"
"28/08/2003","FEMALE","7","12/04/1979","Alice Irving        ","59601825"
"24/07/2030","MALE  ","12","15/09/1983","Adrien Busey        ","32051002"
"23/01/2049","MALE  ","29","06/08/1983","Molly Lunch         ","44121562"
"25/08/2053","FEMALE","20","12/10/1995","Winona Faithfull    ","17881978"
"27/05/2033","FEMALE","42","11/10/2000","Rip Lipnicki        ","26382641"
"07/09/2054","MALE  ","33","27/02/1988","Albert Pacino       ","36733197"
"13/12/2053","FEMALE","46","29/09/1978","Laura Furtado       ","22588497"
"10/12/2009","MALE  ","40","21/06/1991","Swoosie Badalucco   ","71536848"
"20/11/2045","FEMALE","42","14/01/1966","Denny Leguizamo     ","8"
"25/02/2058","MALE  ","42","09/02/1990","Mark Nugent         ","9"
"03/06/2024","MALE  ","9","22/02/1988","Juliet Hobson       ","10"
"04/08/2057","MALE  ","35","20/07/1999","Fiona Fichtner      ","11"
"05/02/2034","FEMALE","2","16/11/1979","Michelle Ingram     ","12"
"16/02/2058","MALE  ","50","25/10/1970","Julia Loveless      ","13"
"16/05/2046","MALE  ","16","19/05/1992","Praga Levine        ","14"
"03/04/2032","FEMALE","15","09/01/1977","Loreena Stanton     ","15"
"29/11/2030","FEMALE","21","13/09/1962","Lizzy Skerritt      ","16"
"27/03/2054","MALE  ","26","08/10/1986","Regina Makowicz     ","17"
"30/09/2033","FEMALE","40","08/01/1978","Mickey Moriarty     ","18"
"13/05/2046","FEMALE","46","07/10/1971","Lucy Geldof         ","19"
"21/06/2041","MALE  ","36","30/11/1991","Penelope Aglukark   ","20"
"24/11/2026","FEMALE","34","12/01/1970","Kelly Sandoval      ","21"
"26/06/2041","MALE  ","18","02/06/1979","Ali Jamal           ","22"
